id,title,content,url,pure_html,img_src
1,عفواً! حدث خطأ ما...,"<p><strong>يمكنك التواصل مع مسؤول الموقع وإرسال البيانات أدناه..!</strong></p>
<p>&nbsp;</p>
<p style=""padding-right: 40px; text-align: justify;""><em><span style=""background-color: #f8cac6;""><strong>- رابط الصفحة المطلوب غير متوفر في قائمة الصفحات، رمز الخطأ: 404.</strong></span></em></p>",404,,pages/404.gif
3,العيادات الخارجية,"<p><strong>تتميز العيادات الخارجية لدينا بتغطية جميع التخصصات الطبية والجراحية من خلال وجود 21 عيادة بالمستشفى، حيث تعمل هذه العيادات أكثر من 8 ساعات في اليوم على مدار 5 أيام في الأسبوع، ويرأس هذه العيادات مجموعة كبيرة من الأساتذة والاستشاريين لجميع ومختلف التخصصات.</strong></p>
<h2 style=""text-align: right;"">التخصصات الطبية والجراحية</h2>
<ul style=""list-style-type: square;"">
<li style=""text-align: right;"">عيادة الباطنة العامة.</li>
<li style=""text-align: right;"">عيادة الجهاز الهضمي.</li>
<li style=""text-align: right;"">عيادة الأسنان.</li>
<li style=""text-align: right;"">عيادة الرمد.</li>
<li style=""text-align: right;"">عيادة القلب والإيكو.</li>
<li style=""text-align: right;"">عيادة الأطفال.</li>
<li style=""text-align: right;"">عيادة الأمراض الجلدية والتناسلية.</li>
<li style=""text-align: right;"">عيادة الأنف والأذن والحنجرة.</li>
<li style=""text-align: right;"">عيادة الجراحة العامة.</li>
<li style=""text-align: right;"">عيادة جراحة العظام.</li>
<li style=""text-align: right;"">عيادة جراحة التجميل.</li>
<li style=""text-align: right;"">عيادة جراحة المخ والأعصاب.</li>
<li style=""text-align: right;"">عيادة جراحة الأطفال.</li>
<li style=""text-align: right;"">عيادة جراحة الأوعية الدموية.</li>
<li style=""text-align: right;"">عيادة الروماتيزم.</li>
<li style=""text-align: right;"">عيادة الأمراض النفسية والعصبية.</li>
<li style=""text-align: right;""><a href=""../allergy-clinic"">عيادة أمراض الصدر والحساسية.</a></li>
<li style=""text-align: right;"">عيادة الكلى والغدد الصماء.</li>
<li style=""text-align: right;"">عيادة جراحة الأورام.</li>
<li style=""text-align: right;"">عيادة التغذية.</li>
<li style=""text-align: right;"">عيادة المسالك البولية.</li>
</ul>
<h3 id=""h_2117522076391653516628364"" style=""text-align: right;"">وتتلخص مهام العيادات الخارجية في الآتي:</h3>
<ul>
<li style=""text-align: right;"">استقبال المرضى وتسجيل بياناتهم وتصنيفهم وتوجيههم حسب احتياجاتهم.</li>
<li style=""text-align: right;"">استقبال المرضى وتشخيص حالتهم وتقرير العلاج اللازم لهم.</li>
<li style=""text-align: right;"">التأكد من دقة واكتمال جداول مواعيد الممرضات والاطباء وتوفير متطلبات تحديثها بما يمكن من التوائم مع احتياجات المرضى.</li>
<li style=""text-align: right;"">التأكد من حسن معامله المرضى وتقديم الخدمات الاولية اللازمة وفق ما يتم تحديدة من معلومات عن المريض وتحليلها.</li>
<li style=""text-align: right;"">توفير الامكانيات والادوات والمهمات اللازمة للعمل بالعيادة الخارجية والعمل على المحافظة عليها وصيانتها وتقليل احتمال حدوث اعطال بها.</li>
<li style=""text-align: right;"">متابعة اخر بيانات المريض والتاكد من اجراء الفحوصات العامة والموضوعية وتشخيص الحالة بدقة.</li>
<li style=""text-align: right;"">القيام باعمال تحويل للمرضى التى تستدعى حالتهم دخول المستشفى.</li>
<li style=""text-align: right;"">التأكد من تسجيل جميع الحالات وجميع البيانات المتعلقة بها واتخاذ ما يلزم من اجراءات لحفظها وحمايتها والتحقق من المحافظة على خصوصيات المرضى وسرية المعلومات.</li>
<li style=""text-align: right;"">اجراء الفحوص الطبية والتحاليل والاشعة التشخيصية لتقرير العلاج المناسب للحالات.</li>
</ul>",outpatient,,pages/DiyblZlWsAAdlXd_kIBHlVb.jpg
4,مواعيد العمل,<p>صفحة&nbsp;مواعيد العمل</p>,time-table,<div></div>,2022-04-07 09:53:21.162463+00:00
5,تواصل معنا,<p>صفحة تواصل معنا</p>,contact-us,<div></div>,pages/contactus-1.jpg
6,نظرة عامة,"<p>صفحة نظرة عامة</p>
<p><strong>أي حاجة</strong></p>",overview,,2022-04-07 09:53:21.162463+00:00
7,رسالتنا ورؤيتنا,<p>صفحة رسالتنا ورؤيتنا</p>,our-vision,,2022-04-07 09:53:21.162463+00:00
8,مجلس الإدارة,"<p>مجلس إدارة المستشفى العسكري بدمياط الجديدة هو المسؤول عن تشغيل وإدارة خدمات ومرافق الوحدة بشكل كامل ويتشكل المجلس من مجموعة من ضباط القوات المسلحة على قدر كبير من العلم والخبرة.</p>
<p>&nbsp;</p>
<h1>مجلس إدارة المستشفى العسكري بدمياط الجديدة</h1>
<p style=""text-align: left;"">آخر تحديث: أبريل 2022</p>
<h3>عقيد طبيب/ عمرو أحمد حافظ الميقاتي</h3>
<h4>قائد المستشفى&nbsp;</h4>",board,,pages/board.webp
9,عيادة أمراض الصدر والحساسية,"<p><strong>عيادة مخصصة لعلاج حساسية الصدر وإجراء الاختبارات اللازمة لتحديد مصدر وسبب الحساسية وعلاج الأزمات الربوية الحادة والمستعصية.</strong></p>
<p>يتوفر بالعيادة احدث أجهزة قياس قدرة الرئة والتنفس.</p>
<p>يتوفر أيضاً قسم للرعاية المركزة خاص بأمراض الصدر لعلاج الحالات الحرجة من الالتهاب الرئوي والالتهابات المزمنة.</p>",allergy-clinic,,pages/passport_130b7360-1e7d-4845-b074-74aca9036aba.jpg
10,عيادة الباطنة,"<p><strong>تقوم العيادة بتقديم جميع خدمات الرعاية الصحية العامة لمرضى الباطنة، بالإضافة لتوجيه المرضى&nbsp; بالعيادات التخصصية في الفروع المختلفة لطب الأمراض الباطنية مثل الأمراض الصدرية، أمراض الغدد الصماء، أمراض القلب، أمراض الكبد والمناظير، الروماتيزيم وأمراض المفاصل، العلاج الطبيعي والمخ والأعصاب.</strong></p>
<p>وهو من أكثر التخصصات الطبية اتساعا وتشعبا حيث يشمل مجموعة من التخصصات الطبية الفرعية ؛ ويعتبر طبيب الباطنة العامة هو المسئول عن الكشف الكامل عن صحة المريض.</p>
<h3 style=""text-align: right;"">خدمات عيادة الباطنة العامة</h3>
<ul>
<li style=""text-align: right;"">الكشف الكامل عن صحة المريض.</li>
<li style=""text-align: right;"">متابعة الأمراض الشهيرة مثل السكرى ، أمراض الغدد الصماء ، ارتفاع ضغط الدم ، أمراض الكبد والجهاز الهضمى ، وأيضا الأمراض الصدرية, والروماتيزم والحميات.</li>
</ul>",im-clinic,,pages/tbl_articles_article_22977_6740048da90-2319-477c-9d19-236e8a6ff793-1024x536.jpg
11,الخدمات الطبية,<p>صفحة الخدمات الطبية</p>,services,,pages/360_F_274936616_0vTz1OF5bFbfv3vIjeVqAbvryrjhBh71.jpg
